Review
"As far as acting is concerned Rajkumar Rao never disappoints and Srikanth is no exception. A very nice movie with great actors including Rajkumar Rao, Sharad Kelkar, jyothika, Alaya F and a great direction. It seems the movie finished in a blink of eye. There was not a single moment which can be said to be boring.The movie generates various emotions right from being ambitious, daring, creative, modest. Enacting a blind person is not easy but Rajkumar Rao nailed it. Jyothika's acting is very natural and flawless. Sharad kelkar as usual performs great. Overall it is a great movie and a must watch. It's great to see such brilliantly acted movies with a nice story and message nowadays."
"First of all, I am glad we are making such inspiring and educational movies. Honestly, I had no idea about Srikanth Bolla before this movie. Now, I am so impressed with him who is still in his early 30's.The problem with the movie is, the writers just got side-tracked. One of the very important characters, the teacher Devika, was totally ignored. She existed because Srikanth existed. What about her own life? A person who did so much for a blind person had no life? No family. No job. No feelings. Just nothing. It's like she was a pawn who was used whenever needed. Also, looks like she never got old with time.About Srikanth. Rajkumar Rao did a great job, but it was a movie. It looks like he (or the director) was too focused on the acting side, which included too many close-ups and his facial movements.The romantic side of the movie is also lacking. When you have a young girl in India who connects with a blind man in the US, and it lasts for 10 years, you really have to make the audience feel the love. Nope. Not in this movie.Instead, the writers spent time on clever arguments. The airport scene was a very long scene. I was hoping they would have emphasized some other characters, like his own parents, who are treated as guest artists.The ending was a bit too fast too. I guess they ran out of time with all those slow and unnecessary scenes.But,. It was a good movie overall and worth watching, especially with the family."
"This is a really nice film but falls way short of being a brilliant one .The film traces the journey of Shrikanth Bolla, who is a blind person but with superb grit and vigour in him . He is a person not interested in getting sympathy for his disability . He is a person who believes he can do everything.Rajkumar Rao as Srikanth is terrific. He completely gets into the character of Srikanth and gives an authentic and natural performance. Some of his dialogues can make you laugh while some while make you emotional. The good thing about the film is that it doesn't get boring anytime thanks to an interesting narrative style and some amazing moments of Srikanth .Jyothika , just coming out of a terrific performance in Shaitaan , shines even further in this film as Srikanth's guardian . Her character gets to portray a greater range than in Shaitaan . Sharad Kelkar too does a good job while the others have also done a fabulous job (atleast Aleya F gets a better role here than her previous horrendous outing BMCM).However , there are problems. In an attempt to keep the film to just 2hr 15 mins, the makers have hastily skimmed through all chapters of Srikanth's life . They don't allow any sequence or scene to settle in your mind properly . Due to this, the film won't actually leave a lasting impact on you . I almost felt I was just watching the highlights of Srikanth's life .The second half dips as well when Srikanth gets involved in politics . All those parts felt a bit half baked . Nevertheless, the film revives itself in the climax . In fact many things in this film is treated in a way too generic manner , almost showing Srikanth ending up winning in every place .The song PAPA KEHTE HAI works so well in the film . Remaining songs are okayish and only present only to serve the romantic purpose of Srikanth .Overall, this is a good film and you can easily watch it in theatres."
"Srikanth is a biography drama film directed by tushar hiranandani.The biggest victory of the film is rajkummar rao. He is outstanding in the film. The way he has carried the mannerisms of a blind man in the film is outstanding. No wonder the man is the recipient of so many awards. Jyotika too, gives a solid performance, despite her character is paper thin. Same is the case with sharad kelkar. The acting in the film is solid.The message is loud and clear, its a good thing. But sometimes, the film goes overboard with its messaging. Every other scene is used as a ladder for srikanth to climb, and that too very easily. This leads to a lack of conflict in the film. The screenplay is otherwise engaging. The music is good. And the cinematography too. The film also suffers in the first half, due to its highlights reel approach. There is little to no breathing space between the scenes. The screenplay is rushed with no time to film srikanth's inner turmoil."
"Passey Reviews 🎥🍿'Srikanth' is like a beacon of inspiration on the big screen, thanks to director Tushar Hiranandani's masterful storytelling. He brings Srikanth Bolla's exceptional and mind-blowing journey to life with such authenticity that you can't help but be moved! 🌟Right from the start, the film hooks you with its gripping screenplay, taking you on an emotional rollercoaster ride. But these tears? They're tears of triumph, not sadness. Hats off to the director and the cast for making the viewers feel every emotion so deeply! 👏Rajkummar Rao steals the show with his incredible performance, showcasing his versatility once again. Playing a blind character isn't easy, but he nails it, reminding us of his brilliance in 'Trapped' and 'CityLights'. Jyotika is a powerhouse of talent, adding layers of depth to her character effortlessly. And not to forget Sharad Kelkar and Alaya F, they shine in their roles too! 🎭'Srikanth' isn't just a movie, it's a reminder to dream big and never give up. If Srikanth can do it, so can we! So, grab your popcorn and get ready to be inspired. This one's a sure shot winner!🎬"
"Srikanth"" is a biographical drama that tells the inspiring story of Srikanth Bolla, a visually impaired industrialist. The film follows his journey from a small village to the heights of success, overcoming societal barriers and challenges. Rajkummar Rao delivers a standout performance, with the supporting cast adding depth to the narrative. However, the film's formulaic structure, lack of nuance in certain areas, and a rushed ending may not appeal to those seeking a more unconventional narrative. Overall, ""Srikanth"" is a film that will leave you inspired, with a story worth telling and performances worth applauding, but it falls short in some areas, earning it a 3 out of 5 stars."
"Srikanth' is not just a film; it's an experience that will leave you moved, motivated, and mesmerized. Rajkummar Rao's transformative performance is a beacon of brilliance, lighting up the screen with every scene. If you're looking for a story that will lift your spirits, challenge your perceptions, and stay with you long after the credits roll, this is it. Don't miss the chance to witness cinematic history in the making. Go watch 'Srikanth' - it's a journey worth taking. 🌟🎥 Must go guys and see the amazing acting of Rajkumar Rao. Nothing is impossible if you want to make it possible. Go now and watch with your family and friends."
"If missed then something is really missed from your life which can bring change. Not only the story is based on a true life event but it also broaden's a person's view point related to education, humanity, kindness, etc..Bollywood should bring such movies for general public information and awareness.Unfortunately in India people follow more of actors and actresses rather then the work they're doing, the information and awareness which the story writers trying to bring in peoples mind through the medium of these kind of movies.I think this movie should be promoted more and more through word of mouth publicity to open the eyes of the storywriters.Great movie!"
"A movie that doesn't put the main character of the biography on a pedestal, going against the norm. Not only does it highlight the greats of the character while heroising him, but also is not afraid to show the grey areas and flaws of the same in the most honest way possible with no sugar coating. There's no typical dramatic fall & rise and fall & rise, it just flows naturally & authentically in a believable manner.Great casting and great acting by all of them involved, with no unnecessary glamour & diagetic song sequences & larger than life portrayals. Even during slight moments of cinematic exaggerations, it's believable rather than overly dramatic, because of the way it has been shot and edited & because of the direction of natural performances, even from the side characters with barely any screen-time.I love how the film doesn't ignore or forget to acknowledge the other characters who played a part in supporting the growth of the main character, almost reminiscent of the Hollywood film Wonder (2015). I even love how it doesn't shy away from calling spade a spade, be it even the flaws in the system in the country that needs attention to be worked on. After 12th Fail, this is another solid film that gets things right & strives to be authentic with great ambition and production value as Hollywood. Good improvement for a Bollywood film for striving to strike that balance lately.The end of this movie doesn't fill you with unnecessary temporary pity & want to compensate, but actually manages to bluntly change your vision towards differently abled, whether it made you emotional or not, and that's a great output for me. Making a person seem like a person who was able to achieve and bring about the necessary changes through the right means, & not some overly celebrated hero of fiction with insurmountable plot-armor. Despite the subject matter & encounters with some very important people with stature, it still manages to keep it simple, & this is what this movie is able to achieve effectively; while also not failing to celebrate the spirit & essence of that person. Much needed!"
"Take an example of ""BLACK"" where every scene was jaw dropping ,you are on the edge of the seat, made your eyes moist and you flowed with the story. However, despite of Raj Kumar Rao's stunning performance the movie falls short on creating conflicts ,falls short on creating ""Everything is lost moment"", the minor conflict comes almost at the end of the movie where srikkanth goes down the slippery lane, and that too seems forced (As the movie is inspired by a real story,not sure whether that part is a cinematic liberty or a real story..but looks forced on the screen). Except Rajkumar all other have been given no character arch at all and that creates lack of sympathy.Although its a good one time watch, Very well inspiring story has been undercooked in my opinion."
