Review
"Comparisons are odious - but in this case, inevitable. Mr. Akhtar has taken the campy cult classic of the seventies and dared to present it to us in a magical new garb. This has outraged many fans of Mr. Amitabh Bachchan and the old Don. I want to start out by saying that I was never a great fan of the original version - it was made as a low budget film and became a classic only by virtue of an interesting story line and Mr. B's larger than life persona in the film and at the time.What does the new Don offer that the old Don lacked?1. It offers a slick wonderfully smooth roller-coaster ride that was absent in the circa 1978 version.2. It offers an updated suave yet menacing evil protagonist that the old one lacked. Mr. B was way better as the naive and bhaiyya Vijay, not very convincing as the evil Don. One should remember that the best of his roles that carried a menace associated with his persona were those where the menace was righteous! This was not the case in Don (1978) and so he did not present the role as well.3. It offers wonderful action and thrills a minute. The action sequences, car chases, fights, flights are unmatched in Hindi cinema and rival stuff coming out of Hollywood!4. It offers excellent music and dance numbers - ah, recycled some say. I disagree - the ""Yeh Mera Dil"" number sizzles in the hands of Kareena, and ""Khaike Paan Banaraswala"" now has Mr. Khan's image embedded with it!! And the two original numbers ""Main Hoon Don"" and ""Aaaj ki Raat"" are inspired and brilliant.5. It offers excellent comedy that has nothing to do with slapstick or stupid.6. It offers bad guy henchmen that are real. It replaces the fake sheiks and bug eyed goons standing around, with sexy sirens and real menacing dudes!7. Best of all it offers a couple of very smart twists that I will not describe in any detail so the spoiler warning is unnecessary. Let me just ask two questions. Is it easier for a suave sophisticate to play a dumb yokel, or for a dumb yokel to play the suave sophisticate? What motivates DCP DeSilva to send Vijay back as Don in the 1978 version?8. It offers a very smart and sleek leading lady, who does not seem fake in the martial arts moves - the practice was well worth it Ms. Chopra!9. It fleshes out the character of Anita more than Don 1978 did, she was a warm body there. And Ms. KOPPIKAR does justice to the role.10. It offers us Mr. Boman Irani in the role played by Iftekhar. Iftekhar was great but Mr. Irani is superb.11. I saved the best for last. Last but not least at all, it offers Mr. Shahrukh Khan the opportunity to dust off his acting chops and delight us as the evil menacing Don. The Badshah is back and he is badder than ever! Welcome back Mr. Khan - first the bad boy in KANK and now the evil dude in Don. Divali came with a great gift this year! Let us hope the future roles are even more varied and delightful.Surely it is not flawless, you ask. So what is wrong with the new Don?1. Well, I never really believed in the whole Doppelganger thing (a duplicate human being for everyone) outside of the identical twin scenario. So yes, that is pretty unbelievable, but that is a premise that has fascinated story tellers and movie makers for years - plus that baggage came with the old Don so no negative points there.2. Why was JJ carrying his kid on his shoulders - wouldn't it be easier to hold his hand and walk across? JJ in the old Don TIGHTROPE WALKED on his lame leg with two kids on his shoulders. So I am actually giving the new Don a plus point!3. The whole CD with information thing was a bit overplayed - but it beat the toss the red notebook game played in the graveyard in the old Don! So again a point for the new version.So when I do the math, Mr. Akhtar's Don comes out way ahead in sophistication, storytelling, fun, action, thrills, drama, and acting. It will keep you on the edge of your seat and you will want to go back for more. I will probably go back just so I can watch the demented Khaike Paan number again. And the twist does leave room for a sequel - I sincerely hope Farhan and Shahrukh will do one."
"the movie has been made perfectly but there are some mistakes which director has made any way, the movie is awesome i liked it.the same acting by shahrukh khan but very well.urjun will hit the box office from this movie perhaps will be his first hit in supporting roll.actually the director still needs help from other senior directors because that,s not kind of his creation, that idea was taken from the previous don by amitabh.he just changed couple of scenes changed the location,he made it a bit more advance.priyanka was looking gorgeous also the kopiker too.if i talk about the end it has had a little suspense in it that how shahrukh played a big game and nobody knew that so far."
"When the rumours started about SRK working with Farhan i was quite happy. But later when i heard he was going to remake i was shocked and surprised I never even thought that someone will make a remake of a good masala entertainer That too remake by Farhan was more surprise.Later on people started calling it classic Classic??....I can only laugh.Since when a good masala entertainer started to became classic.I was never a big fan of DON.In my book it was good entertainer. And i have not watched old DON in years.I remember the basic plot of the movie I remember old DON mainly for Khaike Paan song and BigB performance Moving further it was not a good step by Farhan cause DON is not a flick like old DEVDAS. DON keeps coming almost every month.But Farhan was bent on making this flick.He promised us that this will be a cool and stylish flick I imagined bollywood cant make MI-2 but yeah MI-1 is quite possible But after the gripping theatrical trailer nothing kewl action or stunts were shown.I was surprised So as now the film had released...whether its a good film??....i am extremely sorry but its not...Rather.......its a Brilliant film.......a kickass thriller.... Farhan had delivered what he have promised.This is as stylish as u can think of any bollywood flick on par with Hollywood standard.The look,background music everything gives u a Hollywood feelOK...as far as story is concerned.1st half is almost similar to the original DON. But contrary to many people i liked 2nd half more.Its more thrilling and gripping and with a lot of twists and turns I liked it more than the original whose second half was plain average without much twists and turns And in that part actually Farhan had made changes in the script.And many people and critics seems to be angry that farhan should have stuck with the original script.But tell me if this one had exact similar story who would have watched this Why should someone watch the same story which keeps coming very often on TV.And i am surprised to see people not liking this flick.I will list few reasons....1.U are die hard STUBBORN old DON fan 2.U are big BIGB fan who don't want SRK to play this role 3.A stylish thriller on par with Hollywood standard is not your cup of teaNow..moving onto critics...whether not the critics job is to give review only. But few critics are bent upon to break this movie.Which frankly will lead to audience lost. I have never seen so much arrogant media who is not letting any stone turned to keep the audience away from this flickCritics are saying that this flick had style but no soul.Gimme a break but i din see media commenting so much on DUS which was good flick but turned out average cause they forcefully tried to interwoov the emotional moments A thriller should be like thriller which keeps u guessing and surprises you rather than to try to have interwooven touching moments Go watch 'The Usual Suspects' and bring me any soul in the movie.But it is considered to be greatest thriller ever of Hollywood alongside The Sixth Sense. But i am not surprised cause thrillers are mostly received badly by critics in bollywoodNegative things...... Well sometime u feel like the movie is getting a bit slow But its surprising that i don't find that movie needs any editingPerformances.... Ompuri---Totally wastedIsha----Again wastedKareena Kapoor---Doesn't have quite much role.But she looks real HOT on screenArjun Rampal----He acted well.But frankly he have very short role to notice.But he was really good whatever he was offeredPriyanka Chopra---She looks fabulous.But please when you start to act which seems u have forgotten since Aitraaz.An OK performanceBoman Irani-----When i first heard about his role i was not convinced that he can put off the role. But surprisingly he is nothing less than Brilliant.He proved if he can make u smile then he can also send a chill tooSRK----Vijay----Though his role is short he is quite good Look at him in 'Khaike Paan' song.God...SRK where u have left this energy while working with Johars And he have put really a great effort in khaike songDON----I always wanted DON to be cruel,stylish,evil and intelligent.And this character does the same People should really feel that 'Don Ko Pakadna Mushkil Hi Nai Namumkin Hai'.His dialogue delivery with bit of bitterness is great to see.And i forgive him for his dismal and sleepwalk performance in KANK A surprise job well doneSpecial mention to ""Mai Hoon DON"" song......The way it starts...the way SRK's back is shown and the way he walks. Nothing less than spectacular.""Khuli Kiski Khaatir Hai Baahen,Jami Kispe Hain Sab Nigaahen"".He really makes feel like to welcome this DON of new EraActions.... Car chase sequence is stunning and its roller coaster ride... Aeroplane diving sequence is BREATHTAKING.....absolute treat to watch....Farhan---""Why Farhan Why...why why...why u have made such a good thriller like Hollywood.You don't know we are still living in old age.We are not ready for this.Damn it"" But THANKS---U have really delivered what u have promised.But please next time come with new thriller so that sick minded will not be ready to compare and backfire on you.Great job Farhan.U have completed hatrick of good flicksVisually film is stunning.Background music is amazing as well. And please everyone who like thrillers must watch this especially if u like Hollywood kinda thrillersAnd this flick is really needed to work on Box office cause more and more producer/directors will come upfront to make such stylish flick of holly standards.For a 30crr budgeted flick u cant expect more stylish and kewl flick from BollywoodAgain Farhan...please make your next flick thriller as well..of such standard but with original story.....8/10Bring on DON-2...."
"You want a hunky shahrukh khan, a va va voom Priyanka who seems to have worked out like hell to get that figure; an angel faced Isha Koppikar, FANTASTIC shots of Malaysia and i say FANTASTIC, a wonderfully underplayed intense performance by a mesmerizingly handsome Arjun Rampal slick action sequences and an as usual highly entertaining and effective performance by Boman Irani ......go see Don.Oh and the song picturisations are very good too...especially title track and Khaike Paan Banaraswala....Bear in mind this is an action packed remake of a thriller and also made purely to entertain...so don't go nitpicking small details like people did in the case of Fanaah....sit back sip on your coke, chomp on your popcorn and enjoy!No one reveal the ending please.....let the others enjoy as i did the twist in the end!!!"
"Farhan Akhtar must have fallen hard in love with Don. His new action thriller is evident of that. His stylish Don: The Chase begins is a triumph of movie making. He took original one and rewritten it, blending old and his new to make his own extraordinary one. His supposedly remake of late seventies version of Don is one of the best movie of the year.In 1976, when original Don released with Big B in the lead, it immediately won its audiences with its entertainment values. But it was its first half hour which left mark. Amitabh portrayed Don with such style it is one of the legendary characters Bollywood ever given to the world of cinema. But after exit of first Don it was only good fate twisted drama at least for me. And now new launch is out there. Shahrukh Khan getting in the skin of the Don persona and he did a terrific job. I must confess I was not very sure if SRK can recapture the magic of the original one but I was wrong. Who else could have created the enigmatic aura way he did?Farhan Akhtar said original Don has a great screenplay and what most difficult and important job was to adapt that screenplay. Plot is successfully reincarnated old pulp setting of crooks and cops in modern day fashion. Shahrukh is Don- ace gangster in Malaysia underworld. His boss Singhania is leading from India. And their mysterious second partner, Vardhan is invisible to both their gang and police. Don is running mob in Malaysia with Narang who is little jealous but having no doubts for Don's capability. India Police is behind them and flew in to catch this racket. Om Puri is Interpol intelligence officer Malik and Boman is DCP DeSilva who can do anything to take down Don and his troop. Priyanka Chopra is revenge seeking sexy femme fatal eager to kill Don who killed her brother and his fiancée(Kareena). And DeSilva does it in India but instead of arresting Don he keeps him unconscious in a hospital and he has a better scheme. He sends his look alike Vijay to infiltrate his gang.Movie runs in top gear with SRK on screen. Action scenes are highly stylized. I am not a big chase sequence fan but I particularly liked the car chase sequence. It couldn't have done better. Opening shot has the audacity to set the tone for the lead character and whole movie as well. And so the Martial arts action sequences. Again a chase sequence when SRK cruises off his Mercedes to opposite side under the moving load carrying truck. Most of the scene settings are similar as old one but with distinct touch.This is movie is all Writing, Direction and Acting. Farhan Akhtar's effective use of split screens, closed trunk, dark screen, moving dynamic camera enhances cinematic pleasure. Film's supporting cast did a fine job. All of them. Boman is veteran actor can do no wrong. Priyanka worked hard and did justice to Roma. Other actors are well in their not so long role. Movie is ranked in his technical department and I swear it will sweep all awards in this category. Stunts – Sets- Costumes (Don's dresses and his tie) – Photography and even Titles are of A+ class. Splendid job done by musician trio Shankar-Ehsan-Roy! Background score and theme music is atmosphere of Don. Soundtrack specially remixed Khaike Paan Banaras Vala is choreographed on Shahrukh poured such zing and energy crowd goes crazy on their feet. Aaj Ki Raat is second best.And Shahrukh is having moments in the movie. Pure style. Delivering stellar one-liners (""Don Ke Dushman Ki Sabse Badi Galati Ye Hai Ke Vo Don Ka Dushman Hai""). His menace and stylish performance is my favorite of this year till date. Killing his preys, whether in noisy explosions in the very first scene or second one when he injects Ramesh with poisonous needle and goes wavy- silent death punch. Watch him smiling while cops chasing him. His amazingly chilling sense of humor even when wounded to death (""Us Ladaki Ki Maut Ke Liye Ab Tak Naraz Ho DCP""). Having best from life- Moolah, Women, Horses, Golf or Wine. ""What a hypnotic character this is!It is not exactly a remake but rather reinvented by a brilliant writer director and it never looses its vintage feel. Whenever I saw original Don I always used to take a pause and think about only one point and yearned somewhere for it. It took fall of 2006 to come true."
"Don was great James Bond type entertainment. It had action, music, babes, great photography, good music and a surprise ending. What more do you want? It also bought some old memories back. I was amazed at the quality of production like special effects, camera angles, shooting locales, car chase, sky diving etc. SRK tries his best to fit the larger than life role of Don and does a good job. The women are just fillers. SRK is the movie.For all the people out there who posted negative feedback and criticized the movie....Did you guys expect this to be an art movie? Have you seen how stupid the original Don is? Compared to the original this is a great improvement.I think there is going to be a Don 2 coming soon."
"I liked the movie, great music and quite a thrilling action. However, I can't seem to get over the old DON image, aka Amitabh. He was amazing, and natural. Shahrukh tried his best to get closer and did a great job but, not even close to the original.If I don't compare the two movies, this one is def worth the money spend on the ticket. Good ending, reminds all of us that this is not a real life, it's just a movie.With all the gadgets and cool clothes, SK looks awesome, still AB rocked the Indian movie watchers when he appeared for the first time.All in all, go for this one!!"
"I first saw this with my family in a theatre in 2006. Revisited it recently.
While the original 1978 version was ahead of its time n it has some amazing star cast, this one is slick with the best twist ending in the history of Bollywood.Sharukh aint no match in comparison with Amitabh, especially the way Amitabh portrayed the dead serious n cold hearted behavior n face but Sharukh is stylish n he gave a decent performance.This one has some lovely locations, good action n it has Kareena in a busty shape.The scene in the original where Don is locked up in the same cell along with his associates n Shakaal (Shetty) is tensed n nail biting.
This one is lacking such stuff."
"Well just watched the film last night.....and..........I have to say...............IT WAS AWESOME!!!!! Jeez!!! I am not going to make any comparisons with the original otherwise its going to take all day. What I can say is that Farhan's expert direction has definitely helped to flesh out many of the characters, particularly those of DCP DeSilva and Roma. SRK was good, very good. He really plays the evilness of Don's character brilliantly and he really bites into the role of the anti-hero with relish (its obvious he missed playing parts like this after being stuck in the romantic hero mould for too long). Alas, it has to be said his portrayal of Vijay is not quite up to the mark. He hams it up a bit too much when hes in the Bihaari mode and you never quite appreciate Vijay's plight when he is trying to convince everyone hes not Don. He doesn't play up the fear factor enough like Amitabh did so brilliantly in the original. But this is a minor negative in a film full of positives. Priyanka Chopra is simply rocking as Roma. She really makes you believe that this is indeed a deadly woman you do not want to mess with. Surprisingly Kareena has acted very well in her cameo role too, as have Boman Irani and Om Puri (in what little footage he has) in their roles. And the action? Fantastic. Some truly excellent set pieces. The car chase scene when the police are chasing Don has been brilliantly executed, though a tad too long, and the sky diving sequence (which is heavily influenced from the Bond film Moonraker) was very, very good too. Kudos Farhan. And then we come to one of the best features about the film............THE TWIST!!! Oh yes, there is one and it is completely and utterly unexpected and absolutely compelling. But of course, I'm not going to tell you what it is. In the words of Morpheus from the Matrix, ""You have to see it for yourself"". Of course some Don purists will probably not take to Farhan's version too much. Granted in many scenes that are direct lifts from the original SRK doesn't even compare to the Big B. Neither does SRK infuse the manic energy that Amitabh did into his version of Kahaike Paan. But like I said before, these issues are minor in the big picture. Who steals the film? Well acting wise both SRK and Priyanka Chopra have done very well but the film belongs to just one man. Farhan Akhtar. Enough said.GO WATCH IT!!!"
"Don just continues to prove that Farhan Akhtar is a brilliant director, taking a big budget blockbuster and making it smart, fast-paced and fun. Shahrukh Khan does really well as the villain, something I had not expected going into the movie. Priyanka Chopra is strong as the female lead, and Arjun Rumpal is especially good in his smaller but important role. The music in the movie is one of its strongest points, every song is carried out with excitement, yet the songs don't take away from the plot of the movie at all, they enhance the scenes they are complementing. One of my favorite Bollywood films of the past couple years, up there with Rang de Basanti and Kal Ho Naa Ho."
